Ime,Priimek,RD,Letnik,Oddelek,Povprečna ocena
Janez,Novak,9.2.1996,4,F,4.38
Janez,Novak,23.11.2001,2,B,2.73
Janez,Novak,1.6.1998,4,D,4.04
Janez,Novak,15.12.1993,3,D,4.49
Janez,Novak,4.2.1999,4,B,1.66
Janez,Novak,27.5.2000,1,D,4.41
Janez,Novak,9.9.1998,3,E,2.10
Janez,Novak,14.2.1999,2,B,1.19
Janez,Novak,23.2.1995,3,F,2.61
Janez,Novak,19.11.1998,4,E,2.22
Janez,Novak,11.9.1997,3,F,3.22
Janez,Novak,30.7.1999,4,D,3.64
Janez,Novak,16.4.1993,3,C,4.83
Janez,Novak,15.2.1996,4,E,3.86
Janez,Novak,22.5.1998,2,D,2.27
Janez,Novak,28.2.1993,2,A,1.88
Janez,Novak,13.7.1997,1,B,2.91
Janez,Novak,10.10.2001,4,F,4.85
Janez,Novak,30.12.1999,4,D,4.18
Janez,Novak,19.10.1998,4,F,4.81
Janez,Novak,27.1.1996,1,B,1.44
Janez,Novak,21.3.1996,1,A,4.34
Janez,Novak,24.5.1994,1,D,3.78
Janez,Novak,7.10.2001,2,C,3.93
Janez,Novak,2.4.1999,2,D,2.80
Janez,Novak,7.5.1994,2,F,2.10
Janez,Novak,5.8.2000,1,E,2.82
Janez,Novak,11.9.2000,2,F,3.87
Janez,Novak,17.3.1996,3,D,2.44
Janez,Novak,11.12.1999,4,D,3.85
Janez,Novak,24.11.2001,3,D,2.82
Janez,Novak,6.7.1999,1,F,1.35
Janez,Novak,12.11.1997,2,C,1.08
Janez,Novak,22.11.2001,3,B,3.75
Janez,Novak,18.2.1994,4,E,4.72
Janez,Novak,29.8.1999,2,F,3.82
Janez,Novak,7.8.2000,4,A,4.07
Janez,Novak,29.7.2001,4,D,1.10
Janez,Novak,30.8.1995,2,F,3.62
Janez,Novak,1.2.2001,2,D,4.47
Janez,Novak,29.10.1995,2,B,5.00
Janez,Novak,13.8.2000,1,F,2.06
Janez,Novak,6.9.2000,2,A,3.99
Janez,Novak,3.3.1995,3,A,2.33
Janez,Novak,27.12.2001,2,C,2.26
Janez,Novak,13.11.1999,2,A,4.09
Janez,Novak,17.8.1994,2,D,4.66
Janez,Novak,3.1.2000,4,D,1.31
Janez,Novak,18.1.2000,1,C,2.87
Janez,Novak,12.5.1998,3,D,4.91
Janez,Novak,11.2.1999,3,D,4.01
Janez,Novak,2.6.1994,4,E,2.64
Janez,Novak,25.9.1999,2,E,1.51
Janez,Novak,26.6.2000,3,B,3.31
Janez,Novak,21.5.1995,1,B,3.20
Janez,Novak,29.6.2001,2,A,3.49
Janez,Novak,7.4.2001,4,F,4.22
Janez,Novak,5.12.1997,4,A,2.21
Janez,Novak,5.7.1999,3,F,1.86
Janez,Novak,23.1.1999,4,E,2.98
Janez,Novak,29.11.1999,1,C,4.86
Janez,Novak,3.1.1996,3,A,2.62
Janez,Novak,1.6.1999,1,A,1.38
Janez,Novak,14.4.1995,3,E,1.01
Janez,Novak,26.7.1997,4,B,4.73
Janez,Novak,29.2.1996,3,D,3.09
Janez,Novak,26.8.1999,3,A,1.36
Janez,Novak,13.7.1999,1,E,3.03
Janez,Novak,26.9.1999,3,B,1.40
Janez,Novak,17.4.1999,4,A,2.61
Janez,Novak,12.6.1997,2,F,3.07
Janez,Novak,7.7.1996,1,C,3.88
Janez,Novak,8.11.2001,2,E,1.02
Janez,Novak,8.3.1999,2,F,1.01
Janez,Novak,19.3.1993,2,D,4.64
Janez,Novak,30.9.2000,4,A,4.86
Janez,Novak,23.6.1997,4,F,1.06
Janez,Novak,29.8.1998,4,D,3.74
Janez,Novak,5.2.1995,1,D,1.48
Janez,Novak,25.12.1994,1,D,1.46
Janez,Novak,24.8.1993,2,D,2.56
Janez,Novak,10.3.1998,4,D,4.94
Janez,Novak,6.8.2001,1,C,1.50
Janez,Novak,16.11.2001,4,D,4.46
Janez,Novak,13.8.1994,1,E,4.56
Janez,Novak,16.11.2000,4,C,2.12
Janez,Novak,1.5.1994,4,D,1.89
Janez,Novak,5.1.1995,2,E,2.85
Janez,Novak,11.5.1997,4,E,4.44
Janez,Novak,11.5.2000,1,D,3.19
Janez,Novak,28.12.1996,4,F,2.19
Janez,Novak,24.4.1997,1,D,4.50
Janez,Novak,22.7.1999,4,E,2.45
Janez,Novak,25.5.1997,2,F,3.00
Janez,Novak,9.7.2001,4,D,2.97
Janez,Novak,21.6.1997,2,E,2.89
Janez,Novak,14.12.1999,1,F,4.89
Janez,Novak,14.5.1998,4,E,1.59
Janez,Novak,7.6.2000,1,F,1.22
Janez,Novak,8.11.1997,1,A,4.66
Janez,Novak,27.4.1999,4,F,2.97
Janez,Novak,9.12.1996,1,C,3.74
Janez,Novak,24.3.1993,4,B,4.30
Janez,Novak,4.4.1993,3,B,3.70
Janez,Novak,19.1.1993,4,E,4.06
Janez,Novak,25.9.1995,3,C,3.93
Janez,Novak,20.6.1996,2,F,2.88
Janez,Novak,10.9.1993,4,B,4.99
Janez,Novak,24.5.1998,1,E,1.13
Janez,Novak,18.6.1996,4,D,4.42
Janez,Novak,6.1.1998,2,C,3.08
Janez,Novak,12.6.2000,2,E,2.09
Janez,Novak,5.12.1993,3,B,1.36
Janez,Novak,7.6.1994,4,A,2.42
Janez,Novak,6.10.1994,2,F,3.32
Janez,Novak,4.8.1999,2,F,1.63
Janez,Novak,17.5.1998,4,F,1.39
Janez,Novak,30.3.2000,4,C,1.25
Janez,Novak,9.6.1997,4,B,3.43
Janez,Novak,21.11.2000,1,C,4.80
Janez,Novak,20.4.1995,4,A,3.13
Janez,Novak,19.11.1995,3,F,3.67
Janez,Novak,27.8.1999,3,A,2.73
Janez,Novak,7.3.2000,1,B,1.92
Janez,Novak,10.6.2001,1,E,2.00
Janez,Novak,17.3.1996,3,B,1.63
Janez,Novak,29.4.1996,4,A,4.48
Janez,Novak,30.7.1994,3,C,2.35
Janez,Novak,7.11.1996,2,E,1.90
Janez,Novak,7.7.1993,1,A,1.82
Janez,Novak,14.11.2000,3,B,2.85
Janez,Novak,9.6.1996,4,B,1.36
Janez,Novak,3.6.1993,2,D,4.18
Janez,Novak,18.12.1997,3,D,1.73
Janez,Novak,29.7.1997,4,C,2.82
Janez,Novak,28.6.1999,3,C,4.79
Janez,Novak,29.6.2000,2,C,3.95
Janez,Novak,23.2.2001,4,E,4.34
Janez,Novak,17.2.1999,2,B,2.79
Janez,Novak,3.1.1997,1,B,2.72
Janez,Novak,26.11.1993,1,E,1.94
Janez,Novak,22.9.1999,1,F,1.52
Janez,Novak,18.10.1994,1,B,2.35
Janez,Novak,20.11.1994,4,B,3.05
Janez,Novak,30.5.1998,4,F,2.45
Janez,Novak,24.4.1997,4,D,4.06
Janez,Novak,26.8.2001,1,F,1.03
Janez,Novak,8.2.2001,4,B,4.86
Janez,Novak,12.8.1997,1,C,4.85
Janez,Novak,9.11.1996,4,F,2.43
Janez,Novak,24.11.1998,2,C,2.03
Janez,Novak,19.4.1995,1,E,1.42
Janez,Novak,23.6.1998,4,D,2.03
Janez,Novak,16.10.2000,4,D,4.69
Janez,Novak,2.6.1996,1,E,3.37
Janez,Novak,6.1.1996,4,B,4.40
Janez,Novak,30.8.1993,3,D,4.88
Janez,Novak,15.6.1994,4,C,1.44
Janez,Novak,27.8.1993,4,A,3.52
Janez,Novak,14.11.1997,3,B,4.05
Janez,Novak,27.10.1994,1,A,3.21
Janez,Novak,14.7.1998,1,C,4.11
Janez,Novak,15.6.1998,1,D,2.22
Janez,Novak,24.12.1998,3,E,2.53
Janez,Novak,28.3.2001,2,F,1.99
Janez,Novak,21.4.1995,2,D,1.62
Janez,Novak,6.7.2001,1,F,4.42
Janez,Novak,18.3.1995,1,C,3.74
Janez,Novak,9.9.1995,1,A,2.66
Janez,Novak,17.3.1999,3,A,4.66
Janez,Novak,27.4.1994,2,A,1.77
Janez,Novak,15.4.1994,4,B,4.35
Janez,Novak,15.11.2001,1,B,4.43
Janez,Novak,5.7.2001,1,B,3.25
Janez,Novak,2.6.1994,1,A,1.18
Janez,Novak,4.2.2000,3,A,1.95
Janez,Novak,2.6.1999,1,A,2.72
Janez,Novak,24.4.1998,2,D,3.92
Janez,Novak,14.1.1993,4,F,4.22
Janez,Novak,25.1.2000,4,A,1.02
Janez,Novak,10.4.1999,3,D,1.77
Janez,Novak,13.3.1995,3,B,3.66
Janez,Novak,29.7.2001,2,B,1.52
Janez,Novak,10.4.2001,1,D,1.81
Janez,Novak,5.6.1998,4,D,1.25
Janez,Novak,14.4.1997,4,E,1.39
Janez,Novak,5.12.1994,2,B,3.76
Janez,Novak,25.10.1999,2,B,4.91
Janez,Novak,28.12.1995,3,C,2.36
Janez,Novak,3.12.1999,1,F,1.92
Janez,Novak,15.11.1999,2,E,4.66
Janez,Novak,19.7.1996,3,B,2.74
Janez,Novak,9.12.1999,3,E,4.16
Janez,Novak,21.11.1996,3,B,4.27
Janez,Novak,4.8.1994,2,A,1.99
Janez,Novak,20.9.2000,3,B,2.65
Janez,Novak,18.6.1993,2,F,1.97
Janez,Novak,3.11.2001,1,A,2.87
Janez,Novak,21.2.2000,4,D,1.96
Janez,Novak,10.1.2000,3,F,2.74
Janez,Novak,5.5.1994,3,E,1.54
Janez,Novak,26.11.1999,4,A,1.53
Janez,Novak,28.11.1995,2,E,1.66
Janez,Novak,14.1.1993,1,F,4.25
Janez,Novak,16.9.1995,2,A,4.82
Janez,Novak,14.7.1995,2,C,1.09
Janez,Novak,2.7.1996,2,B,3.32
Janez,Novak,11.8.1995,1,A,4.02
Janez,Novak,29.2.1998,4,E,4.36
Janez,Novak,16.8.1995,1,D,4.00
Janez,Novak,30.9.2000,1,B,2.44
Janez,Novak,8.7.1998,3,D,1.13
Janez,Novak,16.9.1999,4,B,4.04
Janez,Novak,1.10.1997,2,A,4.39
Janez,Novak,9.10.1997,3,C,3.10
Janez,Novak,14.7.1996,2,F,4.26
Janez,Novak,7.12.2000,2,F,1.99
Janez,Novak,27.10.1993,4,E,3.53
Janez,Novak,1.7.1998,4,A,3.44
Janez,Novak,11.3.1997,4,D,3.92
Janez,Novak,22.10.1997,4,B,3.47
Janez,Novak,20.12.2001,4,D,1.15
Janez,Novak,10.10.1998,2,C,3.45
Janez,Novak,16.12.2001,2,C,1.85
Janez,Novak,12.11.1997,3,B,2.38
Janez,Novak,15.8.1999,4,A,4.58
Janez,Novak,29.8.1995,1,C,3.29
Janez,Novak,20.4.1994,2,F,2.19
Janez,Novak,3.5.2000,1,F,1.29
Janez,Novak,1.3.1995,3,E,2.85
Janez,Novak,25.3.1998,2,A,1.62
Janez,Novak,11.3.1996,1,D,2.82
Janez,Novak,22.6.1998,4,D,4.06
Janez,Novak,30.9.1995,2,D,1.27
Janez,Novak,4.10.1997,3,B,3.53
Janez,Novak,4.5.1997,3,C,4.44
Janez,Novak,20.11.1998,3,C,1.81
Janez,Novak,8.9.1994,1,B,2.57
Janez,Novak,3.9.1997,1,B,1.04
Janez,Novak,30.11.1995,2,E,1.94
Janez,Novak,27.1.1993,3,D,1.75
Janez,Novak,28.3.1997,4,F,1.51
Janez,Novak,28.5.2000,2,E,4.35
Janez,Novak,30.12.1995,1,E,1.17
Janez,Novak,26.11.2000,2,D,4.36
Janez,Novak,26.5.2000,1,E,3.17
Janez,Novak,14.10.1993,3,E,1.85
Janez,Novak,16.7.1993,2,F,2.82
Janez,Novak,6.9.1997,3,C,2.99
Janez,Novak,24.12.2000,4,A,3.45
Janez,Novak,3.9.1999,4,E,1.01
Janez,Novak,21.8.1999,3,A,2.42
Janez,Novak,30.11.1996,2,F,1.58
Janez,Novak,26.7.2001,4,F,2.25
Janez,Novak,7.12.2001,2,F,4.99
Janez,Novak,24.3.2001,3,D,4.26
Janez,Novak,15.1.2001,4,E,1.72
Janez,Novak,29.5.1994,2,E,3.14
Janez,Novak,16.4.1998,1,F,3.76
Janez,Novak,7.1.1993,2,C,2.00
Janez,Novak,22.9.1996,1,A,3.44
Janez,Novak,8.5.1993,3,B,1.66
Janez,Novak,18.4.1998,3,B,2.39
Janez,Novak,27.3.1997,4,E,3.12
Janez,Novak,4.8.1997,1,E,3.53
Janez,Novak,23.2.1998,4,F,1.78
Janez,Novak,6.9.2001,2,F,4.36
Janez,Novak,23.7.1994,3,C,3.80
Janez,Novak,18.7.1999,1,A,4.06
Janez,Novak,28.6.1993,4,D,3.66
Janez,Novak,23.3.2001,4,A,2.92
Janez,Novak,23.12.1996,1,F,1.15
Janez,Novak,19.1.2001,4,B,1.91
Janez,Novak,30.1.1994,1,F,3.07
Janez,Novak,6.3.1997,1,C,2.59
Janez,Novak,10.10.1994,1,A,1.40
Janez,Novak,28.9.1997,4,A,2.19
Janez,Novak,24.8.1993,4,A,2.82
Janez,Novak,27.10.2000,3,F,1.40
Janez,Novak,15.3.2001,1,A,1.39
Janez,Novak,8.1.1997,4,A,3.73
Janez,Novak,19.2.2001,3,B,4.12
Janez,Novak,10.9.2001,1,B,4.68
Janez,Novak,2.7.2001,4,F,4.40
Janez,Novak,3.7.1999,1,B,1.07
Janez,Novak,21.12.1999,3,F,4.04
Janez,Novak,30.3.1994,4,D,1.49
Janez,Novak,21.8.2001,3,E,4.41
Janez,Novak,5.8.1999,2,A,4.28
Janez,Novak,18.5.1998,3,C,4.68
Janez,Novak,1.12.1993,4,D,4.00
Janez,Novak,4.5.1996,1,D,2.79
Janez,Novak,3.8.1993,3,A,3.17
Janez,Novak,2.12.1998,1,D,4.82
Janez,Novak,30.2.2001,3,C,4.05
Janez,Novak,25.12.1999,1,F,4.29
Janez,Novak,4.1.2001,1,C,2.77
Janez,Novak,10.8.1994,1,D,2.12
Janez,Novak,18.10.1995,1,B,2.77
Janez,Novak,5.6.2000,3,C,2.04
Janez,Novak,28.6.1995,3,A,3.11
Janez,Novak,20.9.2000,3,D,2.11
Janez,Novak,2.1.1994,1,D,2.59
Janez,Novak,24.1.1994,2,D,3.78
Janez,Novak,24.11.2000,1,E,4.45
Janez,Novak,9.2.1997,1,F,1.90
Janez,Novak,29.7.1993,4,B,2.18
Janez,Novak,29.1.1996,1,E,3.67
Janez,Novak,25.1.2000,4,F,3.53
Janez,Novak,30.8.1999,2,B,2.97
Janez,Novak,1.3.2001,4,E,4.84
Janez,Novak,10.7.1998,1,D,4.62
Janez,Novak,15.5.2001,4,B,4.22
Janez,Novak,1.1.1998,3,A,2.73
Janez,Novak,12.3.1997,2,C,4.50
Janez,Novak,6.6.1994,3,D,1.52
Janez,Novak,8.4.2000,1,D,1.21
Janez,Novak,22.11.1997,4,F,1.12
Janez,Novak,28.5.1999,2,C,4.03
Janez,Novak,14.8.1995,1,B,4.44
Janez,Novak,7.10.1997,1,C,1.04
Janez,Novak,24.7.1994,1,B,3.15
Janez,Novak,27.3.2001,3,D,2.66
Janez,Novak,14.3.1994,2,C,2.44
Janez,Novak,18.1.1993,4,F,1.94
Janez,Novak,9.11.1999,1,F,3.47
Janez,Novak,29.3.1996,4,C,1.53
Janez,Novak,12.7.1996,2,F,1.49
Janez,Novak,21.11.1997,3,D,2.70
Janez,Novak,24.7.1995,1,C,2.50
Janez,Novak,3.4.1994,3,A,2.09
Janez,Novak,18.3.1999,1,F,3.80
Janez,Novak,28.12.1996,4,B,1.91
Janez,Novak,23.12.2001,3,C,2.08
Janez,Novak,22.9.1999,1,B,1.46
Janez,Novak,4.4.1994,3,B,1.72
Janez,Novak,7.11.1997,2,E,2.01
Janez,Novak,27.1.1998,4,E,2.38
Janez,Novak,27.11.1993,1,F,3.79
Janez,Novak,30.7.1997,4,D,4.61
Janez,Novak,28.11.2001,4,D,2.38
Janez,Novak,26.2.2000,3,D,1.58
Janez,Novak,17.11.2001,4,F,4.72
Janez,Novak,23.6.1996,3,C,2.93
Janez,Novak,6.3.1994,4,A,4.26
Janez,Novak,8.9.2001,1,C,4.53
Janez,Novak,23.2.1996,4,B,2.71
Janez,Novak,9.5.1995,1,A,1.96
Janez,Novak,22.4.1999,1,D,2.48
Janez,Novak,3.3.2000,2,D,2.87
Janez,Novak,22.4.1998,2,D,3.41
Janez,Novak,4.11.1996,4,C,1.72
Janez,Novak,26.11.1997,1,F,4.70
Janez,Novak,12.2.2001,4,B,1.16
Janez,Novak,15.7.1996,4,C,1.97
Janez,Novak,11.10.1999,2,D,2.26
Janez,Novak,30.1.2000,4,F,4.59
Janez,Novak,25.4.1997,1,B,4.96
Janez,Novak,17.3.1995,2,A,1.74
Janez,Novak,16.2.1994,3,C,2.31
Janez,Novak,16.4.1995,4,F,4.59
Janez,Novak,13.6.1999,4,E,1.77
Janez,Novak,20.4.2001,3,E,2.12
Janez,Novak,29.8.1998,3,A,1.05
Janez,Novak,22.1.1999,4,F,1.59
Janez,Novak,7.2.1995,4,E,1.49
Janez,Novak,6.8.2000,2,F,3.41
Janez,Novak,14.4.1999,4,F,2.57
Janez,Novak,21.10.1999,2,A,1.72
Janez,Novak,6.7.1998,4,F,1.00
Janez,Novak,6.1.1995,4,D,3.81
Janez,Novak,28.9.1994,1,A,3.13
Janez,Novak,5.2.2000,1,C,1.42
Janez,Novak,10.8.1995,2,D,1.34
Janez,Novak,5.9.1998,3,C,1.50
Janez,Novak,14.3.1994,4,C,2.35
Janez,Novak,25.2.1998,1,A,1.38
Janez,Novak,28.6.1997,2,F,3.69
Janez,Novak,7.3.2001,2,D,2.44
Janez,Novak,3.7.2001,2,A,2.39
Janez,Novak,23.12.1994,2,D,2.37
Janez,Novak,11.2.1997,3,C,1.86
Janez,Novak,22.9.1997,2,B,1.02
Janez,Novak,15.9.1993,2,D,4.17
Janez,Novak,24.4.1997,2,F,3.59
Janez,Novak,26.9.1994,1,B,1.53
Janez,Novak,9.9.1997,1,E,1.13
Janez,Novak,4.3.2000,4,B,1.53
Janez,Novak,21.5.1994,1,B,4.61
Janez,Novak,14.12.1994,1,F,3.96
Janez,Novak,22.12.1997,2,E,1.59
Janez,Novak,3.5.1993,3,D,4.74
Janez,Novak,1.5.1995,1,B,1.15
Janez,Novak,1.8.2001,1,C,2.87
Janez,Novak,24.7.1998,2,F,4.87
Janez,Novak,21.2.1999,3,F,3.73
Janez,Novak,10.5.2000,4,E,1.53
Janez,Novak,3.7.1993,3,F,4.90
Janez,Novak,13.12.1997,1,F,1.63
Janez,Novak,26.8.2001,1,F,1.58
Janez,Novak,17.11.1998,4,C,3.88
Janez,Novak,23.10.1994,4,B,4.30
Janez,Novak,28.11.1996,4,F,3.89
Janez,Novak,9.8.1999,4,F,4.72
Janez,Novak,2.11.1993,3,C,3.47
Janez,Novak,6.1.1994,3,F,1.39
Janez,Novak,10.8.1994,3,F,3.92
Janez,Novak,16.3.1993,1,C,1.33
Janez,Novak,27.8.2000,4,E,4.98
Janez,Novak,4.9.1995,3,D,2.45
Janez,Novak,29.9.1995,1,E,2.29
Janez,Novak,18.11.1996,1,B,2.11
Janez,Novak,24.11.1997,2,E,1.50
Janez,Novak,3.6.2000,2,C,1.69
Janez,Novak,12.1.1999,3,C,2.28
Janez,Novak,26.6.1993,3,F,1.79
Janez,Novak,7.6.1996,4,B,1.38
Janez,Novak,9.1.1994,3,F,3.83
Janez,Novak,30.7.2000,2,E,1.34
Janez,Novak,14.10.1999,2,A,4.30
Janez,Novak,11.7.2001,1,D,4.63
Janez,Novak,2.10.1998,1,B,4.41
Janez,Novak,30.7.1996,3,C,3.02
Janez,Novak,27.10.1999,2,C,3.72
Janez,Novak,12.10.1997,2,C,3.26
Janez,Novak,26.4.2000,4,C,4.00
Janez,Novak,26.12.1994,2,D,2.32
Janez,Novak,1.7.1996,2,A,1.96
Janez,Novak,25.3.2000,1,D,4.45
Janez,Novak,15.9.1995,2,F,4.42
Janez,Novak,30.2.1996,1,D,3.90
Janez,Novak,10.6.1993,2,C,1.57
Janez,Novak,20.2.1993,3,E,4.32
Janez,Novak,5.9.1997,2,C,4.05
Janez,Novak,20.12.1998,1,E,2.67
Janez,Novak,6.8.1996,1,F,2.89
Janez,Novak,7.6.1993,3,F,1.84
Janez,Novak,29.1.2000,2,E,2.24
Janez,Novak,13.10.1999,2,B,4.08
Janez,Novak,11.2.2000,3,C,1.62
Janez,Novak,2.2.2001,1,C,2.73
Janez,Novak,21.10.1995,4,B,1.61
Janez,Novak,21.9.2001,1,F,3.44
Janez,Novak,3.4.2001,3,E,3.60
Janez,Novak,29.10.2001,4,B,4.13
Janez,Novak,13.8.1999,1,C,3.44
Janez,Novak,14.9.1998,2,B,3.63
Janez,Novak,28.12.1997,3,F,1.67
Janez,Novak,30.6.1995,2,C,1.51
Janez,Novak,15.3.2001,2,B,3.35
Janez,Novak,12.11.2001,1,B,3.56
Janez,Novak,9.11.1993,1,E,3.20
Janez,Novak,7.2.2000,2,B,1.50
Janez,Novak,9.6.2000,2,A,3.89
Janez,Novak,16.8.1997,4,C,4.15
Janez,Novak,18.3.1999,4,D,4.39
Janez,Novak,28.9.1994,2,F,3.40
Janez,Novak,8.1.1999,1,F,2.89
Janez,Novak,2.3.1997,3,D,3.69
Janez,Novak,9.12.2001,2,A,4.86
Janez,Novak,9.7.1995,2,C,3.61
Janez,Novak,20.2.1993,2,B,4.25
Janez,Novak,9.4.1995,2,C,1.23
Janez,Novak,3.8.1998,4,B,3.81
Janez,Novak,9.10.1993,3,D,4.47
Janez,Novak,6.4.1997,4,C,2.28
Janez,Novak,22.3.1995,2,A,4.81
Janez,Novak,21.4.1997,1,F,1.85
Janez,Novak,7.8.1993,3,A,2.26
Janez,Novak,29.3.1995,4,B,3.89
Janez,Novak,14.12.2000,3,F,3.28
Janez,Novak,30.11.1997,2,A,2.17
Janez,Novak,5.2.1998,1,A,4.40
Janez,Novak,14.6.2000,2,E,1.06
Janez,Novak,30.5.2000,1,E,2.79
Janez,Novak,11.4.2000,4,C,4.88
Janez,Novak,13.1.2001,2,D,1.73
Janez,Novak,30.12.1998,4,D,4.82
Janez,Novak,14.3.1994,1,D,2.08
Janez,Novak,15.8.2001,2,A,3.42
Janez,Novak,6.11.1994,4,C,3.52
Janez,Novak,26.6.1996,4,F,1.27
Janez,Novak,5.4.1994,2,A,2.07
Janez,Novak,4.5.2000,4,D,3.68
Janez,Novak,13.4.1998,1,D,4.39
Janez,Novak,24.6.1995,4,C,4.03
Janez,Novak,23.2.1994,4,F,3.13
Janez,Novak,14.4.1999,4,A,1.94
Janez,Novak,15.5.1994,3,B,4.41
Janez,Novak,12.7.2000,1,C,4.75
Janez,Novak,1.2.1993,1,B,2.03
Janez,Novak,14.2.1995,2,F,1.99
Janez,Novak,22.3.2000,2,F,4.82
Janez,Novak,27.10.2001,3,B,1.74
Janez,Novak,15.12.1995,2,D,2.34
Janez,Novak,4.4.1994,1,F,1.91
Janez,Novak,4.12.1993,2,C,3.15
Janez,Novak,22.6.2000,2,B,1.93
Janez,Novak,23.7.2001,1,B,4.10
Janez,Novak,22.1.2000,1,A,1.38
Janez,Novak,7.4.1995,3,B,3.87
Janez,Novak,9.6.2000,2,A,1.71
Janez,Novak,20.9.2000,4,C,1.22
Janez,Novak,29.5.2001,1,E,4.22
Janez,Novak,2.6.1994,1,F,1.30
Janez,Novak,16.12.1994,4,A,2.38
Janez,Novak,5.1.2000,4,B,3.27
Janez,Novak,9.5.2000,1,E,1.33
Janez,Novak,4.6.1998,1,F,3.30
Janez,Novak,30.4.1996,4,E,2.01
Janez,Novak,19.3.1996,4,D,4.35
Janez,Novak,18.7.1996,2,C,4.58
Janez,Novak,16.9.1993,1,F,2.50
Janez,Novak,26.9.1995,3,B,2.05
Janez,Novak,3.9.1993,2,C,4.93
Janez,Novak,14.11.1995,3,C,2.03
Janez,Novak,19.2.1993,1,F,3.03
Janez,Novak,22.11.2000,1,D,4.14
Janez,Novak,17.7.1993,2,A,4.54
Janez,Novak,9.11.1996,2,E,3.21
Janez,Novak,26.8.1997,4,E,1.97
Janez,Novak,6.2.1998,3,E,1.68
Janez,Novak,19.11.2001,4,C,1.38
Janez,Novak,11.8.1996,4,F,4.95
Janez,Novak,9.12.1997,1,A,3.25
Janez,Novak,19.4.2000,1,F,4.45
Janez,Novak,24.10.1993,2,A,1.18
Janez,Novak,4.7.1999,4,F,3.69
Janez,Novak,17.2.2001,2,F,1.28
Janez,Novak,9.9.1999,2,E,2.95
Janez,Novak,10.5.1999,1,C,1.46
Janez,Novak,11.8.2000,1,A,4.92
Janez,Novak,14.10.1993,2,A,3.17
Janez,Novak,16.4.1999,4,B,3.04
Janez,Novak,29.11.1996,2,B,3.97
Janez,Novak,7.6.2000,3,C,1.87
Janez,Novak,23.10.2001,4,D,1.23
Janez,Novak,17.9.1998,3,C,1.46
Janez,Novak,16.2.1996,1,A,3.92
Janez,Novak,4.1.2001,2,C,3.16
Janez,Novak,1.6.1999,3,E,4.71
Janez,Novak,4.5.1996,2,F,3.51
Janez,Novak,20.8.1993,2,B,3.58
Janez,Novak,5.12.2000,1,E,1.65
Janez,Novak,15.5.1999,3,F,2.56
Janez,Novak,10.11.1998,1,B,2.27
Janez,Novak,5.6.1999,1,D,2.96
Janez,Novak,14.7.1995,2,B,1.60
Janez,Novak,11.1.1997,1,E,4.56
Janez,Novak,13.8.2001,3,C,4.31
Janez,Novak,15.10.2000,2,B,1.01
Janez,Novak,7.12.1993,2,F,2.32
Janez,Novak,25.8.2001,4,A,4.20
Janez,Novak,27.12.1995,4,F,3.38
Janez,Novak,12.3.2000,2,E,2.42
Janez,Novak,22.4.2001,4,E,3.98
Janez,Novak,7.7.2001,3,E,2.47
Janez,Novak,28.9.2001,3,D,2.99
Janez,Novak,8.6.1997,2,C,1.74
Janez,Novak,20.10.1998,1,C,1.43
Janez,Novak,1.5.1993,1,B,4.46
Janez,Novak,2.8.1997,1,E,3.23
Janez,Novak,26.4.1995,3,A,4.00
Janez,Novak,13.12.1994,3,D,3.19
Janez,Novak,14.4.2001,4,E,3.34
Janez,Novak,18.11.2001,3,A,4.98
Janez,Novak,4.2.1997,3,D,4.94
Janez,Novak,1.8.2001,4,D,2.99
Janez,Novak,15.7.1994,3,C,4.26
Janez,Novak,18.8.2000,4,F,1.52
Janez,Novak,5.10.1995,3,B,3.23
Janez,Novak,12.9.1998,3,B,2.83
Janez,Novak,24.9.1996,1,C,4.35
Janez,Novak,2.1.1995,4,F,4.77
Janez,Novak,3.2.2001,2,F,3.79
Janez,Novak,14.1.1997,1,E,4.36
Janez,Novak,9.11.1993,1,D,4.67
Janez,Novak,25.7.1993,4,E,1.17
Janez,Novak,6.7.1995,1,E,1.28
Janez,Novak,9.7.1999,1,A,4.64
Janez,Novak,30.11.2000,1,B,2.79
Janez,Novak,10.10.1993,2,A,3.35
Janez,Novak,9.3.1996,4,B,3.11
Janez,Novak,9.5.1995,4,E,2.28
Janez,Novak,14.11.2000,2,A,4.23
Janez,Novak,6.8.2000,3,A,2.72
Janez,Novak,12.12.2000,3,E,2.28
Janez,Novak,14.10.1994,1,E,4.56
Janez,Novak,6.11.1997,2,D,3.34
Janez,Novak,24.12.2001,1,E,1.14
Janez,Novak,27.11.1998,2,C,3.73
Janez,Novak,16.2.2000,1,B,4.46
Janez,Novak,28.10.1993,1,E,1.76
Janez,Novak,8.4.2001,4,A,4.86
Janez,Novak,24.7.1996,3,A,4.97
Janez,Novak,17.7.1993,1,F,3.83
Janez,Novak,29.8.1995,4,F,1.11
Janez,Novak,28.1.1995,2,F,3.51
Janez,Novak,1.7.1996,1,F,3.31
Janez,Novak,25.2.2001,2,D,3.38
Janez,Novak,21.7.1993,3,A,1.35
Janez,Novak,27.3.1993,2,F,2.58
Janez,Novak,13.3.1994,4,E,1.82
Janez,Novak,19.6.2001,3,E,3.99
Janez,Novak,21.1.1993,4,A,1.45
Janez,Novak,20.11.1997,1,D,4.81
Janez,Novak,14.12.1998,2,A,1.06
